[2026-01-20 05:41:47,631][INFO] copytrade 启动 | poll_interval=60.0s
[2026-01-20 05:41:47,633][INFO] 初始化目标账户状态，忽略已有仓位: account=0x96489abcb9f583d6835c8ef95ffc923d05a86825
[2026-01-20 05:41:47,633][INFO] 初始化目标账户状态，忽略已有仓位: account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5
[2026-01-20 05:41:47,951][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:41:47,952][INFO] no token updates, total=0
[2026-01-20 05:42:48,260][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:42:48,559][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:42:48,900][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:42:48,900][INFO] no token updates, total=0
[2026-01-20 05:43:49,219][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:43:49,532][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:43:49,865][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:43:49,865][INFO] no token updates, total=0
[2026-01-20 05:44:50,176][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:44:50,514][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=1 since_ms=1768905707632
[2026-01-20 05:44:50,514][INFO] skip sell signal before buy introduction: account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 token=28770223306876042609349339320023940766830944760118437790167392789285879039304
[2026-01-20 05:44:50,812][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:44:50,812][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=1)
[2026-01-20 05:45:51,144][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
